Title,Date
"Love, Death & Robots: Temporada 1: TRAJES","26/3/19"
"Love, Death & Robots: Temporada 1: LA TESTIGO","26/3/19"
"Love, Death & Robots: Temporada 1: TRES ROBOTS","26/3/19"
"Love, Death & Robots: Temporada 1: LA VENTAJA DE SONNIE","26/3/19"
"The Good Wife: Temporada 2: Nueve horas","26/3/19"
"The Good Wife: Temporada 2: Escuchas","26/3/19"
"The Blacklist: Temporada 4: La Compañía Lindquist (N.° 105)","25/3/19"
"The Good Wife: Temporada 2: Chicas malas","25/3/19"
"El negocio del dolor","24/3/19"
"The Blacklist: Temporada 4: Gaia (N.° 81)","24/3/19"
"The Blacklist: Temporada 4: Miles McGrath (N.° 65)","24/3/19"
"The Blacklist: Temporada 4: Mato (N.° 66)","24/3/19"
"The Blacklist: Temporada 4: Esteban (N.° 79)","23/3/19"
"The Blacklist: Temporada 3: Alexander Kirk (N°. 14): Conclusión","23/3/19"
"The Good Wife: Temporada 2: Pastilla envenenada","15/3/19"
"The Good Wife: Temporada 2: Tratamiento VIP","15/3/19"
"The Blacklist: Temporada 3: Alexander Kirk (N°. 14)","13/3/19"
"The Good Wife: Temporada 2: De limpieza","13/3/19"
"The Good Wife: Temporada 2: Rompiendo el ayuno","13/3/19"
"The Good Wife: Temporada 2: No dos veces por lo mismo","13/3/19"
"The Good Wife: Temporada 2: Bajo control","13/3/19"
"The Blacklist: Temporada 3: Susan Hargrave  (N.° 18)","12/3/19"
"The Blacklist: Temporada 3: La Red Artax  (N.° 41)","12/3/19"
"The Blacklist: Temporada 3: Cape May","12/3/19"
"The Blacklist: Temporada 3: El señor Solomon (N°. 32): Conclusión","11/3/19"
"The Blacklist: Temporada 3: El señor Solomon (N°. 32)","10/3/19"
"The Blacklist: Temporada 3: El Cuidador (N°. 78)","10/3/19"
"The Blacklist: Temporada 3: Drexel (N°. 113)","10/3/19"
"The Blacklist: Temporada 3: Lady Ambrosía (N°. 77)","9/3/19"
"The Blacklist: Temporada 3: Alistair Pitt (N°. 103)","9/3/19"
"ROMA","8/3/19"
"The Good Wife: Temporada 1: Corriendo","7/3/19"
"The Good Wife: Temporada 1: Hibristofilia","7/3/19"
"The Good Wife: Temporada 1: Desconectado","7/3/19"
"The Blacklist: Temporada 3: El Vehm (N.° 132)","6/3/19"
"The Good Wife: Temporada 1: Simulación","5/3/19"
"The Blacklist: Temporada 3: Señor Gregory Devry (N.° 95)","4/3/19"
"The Good Wife: Temporada 1: Boom","4/3/19"
"The Good Wife: Temporada 1: Duda","4/3/19"
"The Good Wife: Temporada 1: Corazón","4/3/19"
"The Blacklist: Temporada 3: El Director (N.° 24): Conclusión","3/3/19"
"Suburra: La serie: Temporada 2: Quiero saber la verdad","3/3/19"
"Suburra: La serie: Temporada 2: San Pedro y San Pablo","3/3/19"
"The Blacklist: Temporada 3: El Director (N.° 24)","3/3/19"
"The Blacklist: Temporada 3: Los Reyes de la Carretera (N.° 108)","3/3/19"
"The Blacklist: Temporada 3: Zal Bin Hasaan (N.° 31)","3/3/19"
"El ángel","2/3/19"
"The Blacklist: Temporada 3: Crispin Crandall (N.° 86)","2/3/19"
"Perdedores: Colección 1: Black Jack","2/3/19"
"The Blacklist: Temporada 3: Arioch Cain (N.° 50)","1/3/19"
"The Good Wife: Temporada 1: Pulgas","1/3/19"
"The Good Wife: Temporada 1: Bang","1/3/19"
"The Blacklist: Temporada 3: El Djinn (N.° 43)","28/2/19"
"The Blacklist: Temporada 3: Eli Matchett (N.° 72)","28/2/19"
"Suburra: La serie: Temporada 2: Guerra","28/2/19"
"Suburra: La serie: Temporada 2: La cuna","27/2/19"
"Suburra: La serie: Temporada 2: Patas arriba","27/2/19"
"The Blacklist: Temporada 3: Marvin Gerard (N.° 80)","26/2/19"
"The Blacklist: Temporada 3: El Granjero Trol (N.° 38)","26/2/19"
"Suburra: La serie: Temporada 2: Más cerca","26/2/19"
"Suburra: La serie: Temporada 2: Consecuencias","26/2/19"
"Suburra: La serie: Temporada 2: Encuéntrala","26/2/19"
"The Blacklist: Temporada 2: Tom Connolly (N.° 11)","25/2/19"
"The Good Wife: Temporada 1: Hola","25/2/19"
"The Good Wife: Temporada 1: Malo","25/2/19"
"The Blacklist: Temporada 2: Karakurt (N.° 55)","24/2/19"
"The Blacklist: Temporada 2: Quon Zhang (N.° 87)","24/2/19"
"The Blacklist: Temporada 2: Leonard Caul (N.° 62)","24/2/19"
"The Blacklist: Temporada 2: Vanessa Cruz (N.° 117)","24/2/19"
"The Blacklist: Temporada 2: Iniciativa Longevidad (N.° 97)","24/2/19"
"The Blacklist: Temporada 2: Tom Keen (N.° 7)","24/2/19"
"The Blacklist: Temporada 2: El Mayor (N.° 75)","23/2/19"
"The Blacklist: Temporada 2: T. Earl King VI (N.° 94)","22/2/19"
"The Blacklist: Temporada 2: El Cazador de Ciervos (N.° 93)","21/2/19"
"The Good Wife: Temporada 1: Analgésico","21/2/19"
"The Good Wife: Temporada 1: Infamia","21/2/19"
"The Blacklist: Temporada 2: La familia Kenyon (N.° 71)","19/2/19"
"The Blacklist: Temporada 2: Ruslan Denisov (N.° 67)","18/2/19"
"The Good Wife: Temporada 1: Socorrista","18/2/19"
"The Good Wife: Temporada 1: Trío","18/2/19"
"The Good Wife: Temporada 1: Sin preparar","18/2/19"
"The Blacklist: Temporada 2: Luther Braxton (N.° 21): Conclusión","18/2/19"
"The Blacklist: Temporada 2: Luther Braxton (N.° 21)","17/2/19"
