Title,Date
"Dark: Temporada 1: Lo que se siembra, eso mismo se cosecha","31/7/18"
"Troya: La caída de una ciudad: Sangre negra","30/7/18"
"The Walking Dead: Temporada 7: Enterradme aquí","29/7/18"
"The Walking Dead: Temporada 7: Piedra en el camino","29/7/18"
"The Walking Dead: Temporada 7: Corazones que aún laten","29/7/18"
"The Walking Dead: Temporada 7: Cántame una canción","29/7/18"
"Lost in Space: Temporada 1: Impacto","28/7/18"
"Tropic Thunder: ¡Una guerra muy perra!","25/7/18"
"Dark: Temporada 1: Encrucijadas","25/7/18"
"Dark: Temporada 1: Sic mundus creatus est","23/7/18"
"Sense8: Temporada 2: Amor vincit omnia","21/7/18"
"Dark: Temporada 1: Verdades","19/7/18"
"Dark: Temporada 1: Vidas dobles","19/7/18"
"Dark: Temporada 1: Pasado y presente","17/7/18"
"Dark: Temporada 1: Mentiras","17/7/18"
"Suits: Temporada 7: Adiós","17/7/18"
"Dark: Temporada 1: Secretos","16/7/18"
"Suits: Temporada 7: No se trata de dar pena","16/7/18"
"El alienista: Temporada 1: Un castillo en el cielo","12/7/18"
"Suits: Temporada 7: Tentándole al destino","12/7/18"
"Suits: Temporada 7: Inevitable","12/7/18"
"Suits: Temporada 7: Un hombre malo","11/7/18"
"Suits: Temporada 7: Verdades dolorosas","11/7/18"
"Suits: Temporada 7: Donna","11/7/18"
"El alienista: Temporada 1: Réquiem","10/7/18"
"El alienista: Temporada 1: Psychopathia Sexualis","9/7/18"
"El alienista: Temporada 1: Varios hombres santificados","8/7/18"
"El alienista: Temporada 1: Ascensión","8/7/18"
"El alienista: Temporada 1: El estornino de Hildebrandt","8/7/18"
"El alienista: Temporada 1: Pensamientos sangrientos","8/7/18"
"El alienista: Temporada 1: La sonrisa de plata","1/7/18"
"El alienista: Temporada 1: Una asociación fructífera﻿","1/7/18"
"El alienista: Temporada 1: El chico del puente","1/7/18"
"TAU","1/7/18"
"Calibre","1/7/18"
"Star Trek: Más allá","29/6/18"
"La casa de papel: Parte 2: Episodio 6","20/6/18"
"La casa de papel: Parte 2: Episodio 5","19/6/18"
"La casa de papel: Parte 2: Episodio 4","19/6/18"
"La casa de papel: Parte 2: Episodio 3","18/6/18"
"Infierno azul","17/6/18"
"Outlander: Temporada 1: La boda","13/6/18"
"Outlander: Temporada 1: El comandante de la guarnición","13/6/18"
"La casa de papel: Parte 2: Episodio 2","12/6/18"
"La casa de papel: Parte 2: Episodio 1","11/6/18"
"La casa de papel: Parte 1: Episodio 9","10/6/18"
"La casa de papel: Parte 1: Episodio 8","9/6/18"
"La casa de papel: Parte 1: Episodio 7","9/6/18"
"Abstract: el arte del diseño: Temporada 1: Diseño gráfico: Paula Scher","8/6/18"
"The Amazing Spider-Man 2: El poder de Electro","8/6/18"
"La casa de papel: Parte 1: Episode 6","6/6/18"
"La casa de papel: Parte 1: Episode 5","5/6/18"
"La casa de papel: Parte 1: Episode 4","3/6/18"
"La casa de papel: Parte 1: Episode 3","3/6/18"
"Capitán América: Civil War","30/5/18"
"La casa de papel: Parte 1: Episodio 2","27/5/18"
"La casa de papel: Parte 1: Episode 1","27/5/18"
"La luz de las historias: Temporada 1: El Himalaya","25/5/18"
"En pocas palabras: Temporada 1: Monogamia","25/5/18"
"En pocas palabras: Temporada 1: La brecha de riqueza racial","25/5/18"
"Suits: Temporada 7: Vergüenza","17/5/18"
"Suits: Temporada 7: 100","16/5/18"
"Suits: Temporada 7: Absoluta transparencia","16/5/18"
"Suits: Temporada 7: El pasado no perdona","15/5/18"
"Suits: Temporada 7: Viviendas en Brooklyn","14/5/18"
"Suits: Temporada 7: Dividir y vencer","14/5/18"
"The Rain: Temporada 1: No os separéis","13/5/18"
"Suits: Temporada 7: Pesadilla de barro","13/5/18"
"Suits: Temporada 7: La estatua","9/5/18"
"The Rain: Temporada 1: No salgáis","8/5/18"
"Suits: Temporada 7: Carne en el asador","8/5/18"
"Suits: Temporada 6: Carácter y aptitud","7/5/18"
"Suits: Temporada 6: Quid Pro Quo","7/5/18"
"Suits: Temporada 6: Admisión de culpa","7/5/18"
"Outlander: Temporada 1: La recaudación","5/5/18"
"Suits: Temporada 6: Dientes, nariz, dientes","4/5/18"
"Suits: Temporada 6: El cuadro","4/5/18"
"Suits: Temporada 6: Se ha ido","4/5/18"
"Suits: Temporada 6: P.S.L.","4/5/18"
"Suits: Temporada 6: La mano que te da de comer","4/5/18"
"Suits: Temporada 6: Tiempo prestado","3/5/18"
"Suits: Temporada 6: Una buena sacudida","3/5/18"
"Suits: Temporada 6: España","2/5/18"
"Suits: Temporada 6: Confianza","2/5/18"
"Suits: Temporada 6: Giro","27/4/18"
"Suits: Temporada 6: Volvemos a estar en marcha","27/4/18"
"Outlander: Temporada 1: La reunión","25/4/18"
"Suits: Temporada 6: Cuentas pendientes","25/4/18"
"Suits: Temporada 6: Por los problemas","25/4/18"
"Outlander: Temporada 1: La huida","24/4/18"
"The Crown: Temporada 1: Hyde Park Corner","24/4/18"
"The Crown: Temporada 1: Wolferton Splash","24/4/18"
"Outlander: Temporada 1: Castillo Leoch","23/4/18"
"Suits: Temporada 5: La última hora","23/4/18"
"Suits: Temporada 5: Tic, tac","23/4/18"
"Suits: Temporada 5: Defensa propia","23/4/18"
"Suits: Temporada 5: Los verdes pastos del Señor","23/4/18"
"Anthony Joshua: The Road to Klitschko","22/4/18"
"Desafío total","22/4/18"
"Loaded: Loaded: Temporada 1: Demanda","22/4/18"
"Ninja Turtles: Fuera de las sombras","21/4/18"
"Amateur","21/4/18"
"Star Trek: Discovery: Temporada 1: Leteo","20/4/18"
"Star Trek: Discovery: Temporada 1: Elige quién sufre","20/4/18"
"Suits: Temporada 5: Vivir para luchar","18/4/18"
"Suits: Temporada 5: Represalias","18/4/18"
"Suits: Temporada 5: Fe","18/4/18"
"Suits: Temporada 5: Invitados indeseados","18/4/18"
"Suits: Temporada 5: Mea culpa","17/4/18"
"Suits: Temporada 5: Tocando la fibra","16/4/18"
"Suits: Temporada 5: Privilegio","16/4/18"
"Suits: Temporada 5: De tú a tú","16/4/18"
"Outlander: Temporada 1: Sassenach","15/4/18"
"Café Society","14/4/18"
"Alias Grace: Miniserie: Parte 6","11/4/18"
"Suits: Temporada 5: No puedo hacerlo","11/4/18"
"Suits: Temporada 5: Sin recambios","11/4/18"
"Suits: Temporada 5: Compensación","11/4/18"
"Alias Grace: Miniserie: Parte 5","10/4/18"
"Suits: Temporada 5: Negación","10/4/18"
"Suits: Temporada 4: No solo una cara bonita","10/4/18"
"Alias Grace: Miniserie: Parte 4","9/4/18"
"Suits: Temporada 4: Tentativa","9/4/18"
"Suits: Temporada 4: Descarrilado","9/4/18"
"Suits: Temporada 4: La encrucijada","9/4/18"
"Suits: Temporada 4: Respeto","9/4/18"
"Suits: Temporada 4: Ya basta","9/4/18"
"Suits: Temporada 4: Esto es Roma","9/4/18"
"Alias Grace: Miniserie: Parte 3","8/4/18"
"Alias Grace: Miniserie: Parte 2","8/4/18"
"Shot Caller","6/4/18"
"Una madre imperfecta","5/4/18"
"Alias Grace: Miniserie: Parte 1","4/4/18"
"Suits: Temporada 4: Se marcha","4/4/18"
"Suits: Temporada 4: Expuestos","4/4/18"
"Suits: Temporada 4: Hemos terminado","4/4/18"
"Suits: Temporada 4: El tratamiento Litt","4/4/18"
"Aniquilación","3/4/18"
"Suits: Temporada 4: Una libra de carne","3/4/18"
"Jason Bourne","2/4/18"
"Regresión","2/4/18"
"Suits: Temporada 4: Ventaja","2/4/18"
"Suits: Temporada 4: Dos en la rodilla","2/4/18"
"Suits: Temporada 4: Desayuno, comida y cena","2/4/18"
"Suits: Temporada 4: Uno, dos, tres, ya","1/4/18"
"Suits: Temporada 3: Sin escapatoria","1/4/18"
"Suits: Temporada 3: Saber cuándo hay que pasar","1/4/18"
"JFK (caso abierto)","27/3/18"
"Suits: Temporada 3: Ardor de estómago","27/3/18"
"Suits: Temporada 3: Un tema de discusión","27/3/18"
"Suits: Temporada 3: El pasado, pasado está","26/3/18"
"Suits: Temporada 3: Secretos enterrados","26/3/18"
"Suits: Temporada 3: Quédate","26/3/18"
"Efectos secundarios","24/3/18"
"Suits: Temporada 3: Mala fe","23/3/18"
"Suits: Temporada 3: Fin del partido","22/3/18"
"Suits: Temporada 3: Es mía","22/3/18"
"Suits: Temporada 3: La otra vez","22/3/18"
"Suits: Temporada 3: Una sombra de duda","20/3/18"
"Suits: Temporada 3: Conflicto de intereses","20/3/18"
"Suits: Temporada 3: Asuntos pendientes","20/3/18"
"Suits: Temporada 3: Quiero que me quieras","19/3/18"
"Suits: Temporada 3: El acuerdo","19/3/18"
"The World's Most Extraordinary Homes: Temporada 1: Costa","18/3/18"
"Collateral: Episodio 4","18/3/18"
"Marvel - Jessica Jones: Temporada 2: Alias - Empiece por el principio","17/3/18"
"Flint Town: Temporada 1: Bienvenidos a Flint","17/3/18"
"Chef's Table: Volumen 1: Dan Barber","17/3/18"
"Collateral: Episodio 2","17/3/18"
"Collateral: Episodio 3","17/3/18"
"Collateral: Episodio 1","17/3/18"
"Suits: Temporada 2: La guerra","16/3/18"
"Suits: Temporada 2: Normandía","16/3/18"
"Suits: Temporada 2: Ha vuelto","15/3/18"
"Suits: Temporada 2: Zane contra Zane","14/3/18"
"Suits: Temporada 2: La sangre llega al río","14/3/18"
"Suits: Temporada 2: Ángulo muerto","14/3/18"
"Un espía y medio","14/3/18"
"Minimalismo: las cosas importantes","13/3/18"
"Suits: Temporada 2: Solo ante el peligro","13/3/18"
"Suits: Temporada 2: Asterisco","13/3/18"
"Abstract: el arte del diseño: Temporada 1: Diseño de interiores: Ilse Crawford","12/3/18"
"Suits: Temporada 2: Rebobinar","12/3/18"
"Peaky Blinders: Temporada 4: La compañía","11/3/18"
"The Outsider","11/3/18"
"Suits: Temporada 2: Golpe bajo","11/3/18"
"Suits: Temporada 2: Jugárselo todo","11/3/18"
"Suits: Temporada 2: Punto de break","10/3/18"
"Suits: Temporada 2: El descubrimiento","10/3/18"
"Peaky Blinders: Temporada 4: El duelo","10/3/18"
"Peaky Blinders: Temporada 4: Peligrosa","9/3/18"
"Suits: Temporada 2: Ha llegado el nuevo jefe","9/3/18"
"Suits: Temporada 2: La elección","9/3/18"
"Peaky Blinders: Temporada 4: Mirlo","8/3/18"
"Suits: Temporada 2: Lo sabe","8/3/18"
"Suits: Temporada 1: Pelea de perros","8/3/18"
"Peaky Blinders: Temporada 4: Paganos","6/3/18"
"Peaky Blinders: Temporada 4: La horca","6/3/18"
"Suits: Temporada 1: Las reglas del juego","6/3/18"
"Suits: Temporada 1: En reserva","6/3/18"
"Suits: Temporada 1: Invicto","5/3/18"
"Peaky Blinders: Temporada 3: Episodio 6","4/3/18"
"Suits: Temporada 1: Crisis de identidad","4/3/18"
"Suits: Temporada 1: Ataca al hombre","4/3/18"
"Peaky Blinders: Temporada 3: Episodio 5","4/3/18"
"Peaky Blinders: Temporada 3: Episodio 4","3/3/18"
"Peaky Blinders: Temporada 3: Episodio 3","3/3/18"
"Abstract: el arte del diseño: Temporada 1: Ilustración: Christoph Niemann","2/3/18"
"Abstract: el arte del diseño: Temporada 1: Diseño de zapatillas: Tinker Hatfield","2/3/18"
"Peaky Blinders: Temporada 3: Episodio 2","1/3/18"
"Suits: Temporada 1: Los trucos del oficio","1/3/18"
"Suits: Temporada 1: Pagar la fianza","1/3/18"
"Peaky Blinders: Temporada 3: Episodio 1","28/2/18"
"Peaky Blinders: Temporada 2: Episodio 6","28/2/18"
"Altered Carbon: Temporada 1: Forajidos","27/2/18"
"Altered Carbon: Temporada 1: Alma en la sombra","27/2/18"
"Suits: Temporada 1: Sucios secretitos","27/2/18"
"Peaky Blinders: Temporada 2: Episodio 5","26/2/18"
"Altered Carbon: Temporada 1: Encuentro en la noche","26/2/18"
"Altered Carbon: Temporada 1: El perro rabioso","26/2/18"
"Suits: Temporada 1: Vía rápida","26/2/18"
"Suits: Temporada 1: Errores y omisiones","26/2/18"
"Peaky Blinders: Temporada 2: Episodio 4","25/2/18"
"The Get Down: Parte 1: La oscuridad es tu vela","24/2/18"
"The Get Down: Parte 1: Busca a aquellos que aviven tu llama","24/2/18"
"The Get Down: Parte 1: Donde hay ruina, hay esperanza para un tesoro","24/2/18"
"Altered Carbon: Temporada 1: El hombre con mi cara","23/2/18"
"Altered Carbon: Temporada 1: Falso culpable","23/2/18"
"Altered Carbon: Temporada 1: La fuerza del destino","23/2/18"
"Altered Carbon: Temporada 1: En un lugar solitario","23/2/18"
"Peaky Blinders: Temporada 2: Episodio 3","22/2/18"
"Peaky Blinders: Temporada 2: Episodio 2","21/2/18"
"Peaky Blinders: Temporada 2: Episodio 1","21/2/18"
"Suits: Temporada 1: Piloto","21/2/18"
"Peaky Blinders: Temporada 1: Episodio 6","20/2/18"
"Peaky Blinders: Temporada 1: Episodio 5","19/2/18"
"Peaky Blinders: Temporada 1: Episodio 4","19/2/18"
"Black Mirror: Temporada 3: Playtesting","19/2/18"
"Black Mirror: Temporada 3: Caída en picado","19/2/18"
"Black Mirror: Temporada 4: Black Museum","19/2/18"
"Premonición","17/2/18"
"Black Mirror: Temporada 1: Toda tu historia","16/2/18"
"Las chicas del cable: Temporada 1: Capítulo 1: Los sueños","16/2/18"
"Las chicas del cable: Temporada 2: Capítulo 16: La inocencia","16/2/18"
"Las chicas del cable: Temporada 2: Capítulo 15: Las oportunidades","14/2/18"
"Las chicas del cable: Temporada 2: Capítulo 14: La soledad","14/2/18"
"Las chicas del cable: Temporada 2: Capítulo 13: Los secretos","14/2/18"
"Peaky Blinders: Temporada 1: Episodio 3","13/2/18"
"Las chicas del cable: Temporada 2: Capítulo 12: La culpa","13/2/18"
"Las chicas del cable: Temporada 2: Capítulo 11: Los celos","13/2/18"
"Las chicas del cable: Temporada 2: Capítulo 10: El pacto","13/2/18"
"Las chicas del cable: Temporada 2: Capítulo 9: La elección","13/2/18"
"Peaky Blinders: Temporada 1: Episodio 2","12/2/18"
"Las chicas del cable: Temporada 1: Capítulo 8: El amor","12/2/18"
"Las chicas del cable: Temporada 1: Capítulo 7: La pérdida","12/2/18"
"Las chicas del cable: Temporada 1: Capítulo 6: La familia","8/2/18"
"Las chicas del cable: Temporada 1: Capítulo 5: El pasado","8/2/18"
"Peaky Blinders: Temporada 1: Episodio 1","7/2/18"
"Las chicas del cable: Temporada 1: Capítulo 4: Los sentimientos","7/2/18"
"Las chicas del cable: Temporada 1: Capítulo 3: Las mentiras","7/2/18"
"Las chicas del cable: Temporada 1: Capítulo 2: Los recuerdos","6/2/18"
"Altered Carbon: Temporada 1: ¿Ángel o diablo?","5/2/18"
"Altered Carbon: Temporada 1: Retorno al pasado","5/2/18"
"Star Trek: Discovery: Temporada 1: Al cuchillo del carnicero no le importan los chillidos del cordero","28/1/18"
"Blue Valentine","28/1/18"
"Homeland: Temporada 6: América primero","27/1/18"
"Homeland: Temporada 6: R de Romeo","27/1/18"
"Homeland: Temporada 6: La casa con la bandera","27/1/18"
"Homeland: Temporada 6: Marionetas","27/1/18"
"Homeland: Temporada 6: Verdad alterada","27/1/18"
"Homeland: Temporada 6: Riesgo inminente","26/1/18"
"Homeland: Temporada 6: El regreso","26/1/18"
"Homeland: Temporada 6: Casus belli","26/1/18"
"Homeland: Temporada 6: Un destello","25/1/18"
"Homeland: Temporada 6: El pacto","25/1/18"
"Homeland: Temporada 6: El hombre en el sótano","24/1/18"
"Los miserables","24/1/18"
"Homeland: Temporada 5: Un falso destello","24/1/18"
"The Crown: Temporada 2: Paterfamilias","24/1/18"
"The Crown: Temporada 2: Hombre misterioso","24/1/18"
"Homeland: Temporada 6: Blanco legítimo","22/1/18"
"The Sinner: The Sinner: Cora: Parte VIII","21/1/18"
"The Sinner: The Sinner: Cora: Parte VII","21/1/18"
"The Sinner: The Sinner: Cora: Parte VI","21/1/18"
"The Sinner: The Sinner: Cora: Parte V","21/1/18"
"Black Mirror: Temporada 1: El himno nacional","20/1/18"
"The Sinner: The Sinner: Cora: Parte IV","18/1/18"
"The Sinner: The Sinner: Cora: Parte III","17/1/18"
"The Crown: Temporada 2: Estimada Sra. Kennedy","17/1/18"
"The Sinner: The Sinner: Cora: Parte II","16/1/18"
"The Sinner: The Sinner: Cora: Parte I","16/1/18"
"La Mantis: Temporada 1: Episodio 1","16/1/18"
"No habrá paz para los malvados","15/1/18"
"Star Trek: Discovery: Temporada 1: El contexto es para los reyes","13/1/18"
"Star Trek: Discovery: Temporada 1: Batalla en las estrellas binarias","12/1/18"
"Star Trek: Discovery: Temporada 1: El saludo vulcano","12/1/18"
"The Crown: Temporada 2: Matrimonium","11/1/18"
"The Crown: Temporada 2: Vergangenheit","11/1/18"
"The Crown: Temporada 2: Marionetas","10/1/18"
"Black Mirror: Temporada 4: Cabeza de metal","7/1/18"
"Black Mirror: Temporada 4: Hang the DJ","6/1/18"
"Black Mirror: Temporada 4: Cocodrilo","3/1/18"
"The Crown: Temporada 2: Beryl","3/1/18"
"The Crown: Temporada 2: Lisboa","3/1/18"
"Star Wars: El despertar de la fuerza","2/1/18"
"The Crown: Temporada 2: Una tripulación de hombres","2/1/18"
"Black Mirror: Temporada 4: Arkangel","1/1/18"
"Black Mirror: Temporada 4: USS Callister","1/1/18"
"Banking on Bitcoin","30/12/17"
"Bright","27/12/17"
"The Crown: Temporada 2: Infortunio","19/12/17"
"Suburra: La serie: Temporada 1: Llámalo dormir","18/12/17"
"Suburra: La serie: Temporada 1: La oscuridad","18/12/17"
"The Crown: Temporada 1: Gloriana","18/12/17"
"Suburra: La serie: Temporada 1: Otro","17/12/17"
"Hiroshima: BBC History of World War II","17/12/17"
"Suburra: La serie: Temporada 1: Último cliente","16/12/17"
"Suburra: La serie: Temporada 1: Ajo, aceite y guindilla","16/12/17"
"Suburra: La serie: Temporada 1: La loba","16/12/17"
"Ocho apellidos catalanes","15/12/17"
"Grimm: Temporada 1: Cuidado con las abejas","15/12/17"
"Grimm: Temporada 1: Los osos siempre serán osos","15/12/17"
"Grimm: Temporada 1: Piloto","15/12/17"
"Suburra: La serie: Temporada 1: Buen provecho","14/12/17"
"Suburra: La serie: Temporada 1: Perros rabiosos","14/12/17"
"La fuente de la vida","13/12/17"
"The Crown: Temporada 1: Asesinos","12/12/17"
"The Crown: Temporada 1: Orgullo y alegría","12/12/17"
"Suburra: La serie: Temporada 1: Patricios y plebeyos","8/12/17"
"Suburra: La serie: Temporada 1: 21 días","8/12/17"
"Foo Fighters: Back and Forth","8/12/17"
"Palmeras en la nieve","27/11/17"
"La sal de la Tierra","26/11/17"
"La luz de las historias: Temporada 1: Bajo el agua","26/11/17"
"Black Sails: Temporada 1: VII","24/11/17"
"Black Sails: Temporada 1: VI","23/11/17"
"Black Sails: Temporada 1: V","20/11/17"
"Black Sails: Temporada 1: IV","20/11/17"
"Black Sails: Temporada 1: III","20/11/17"
"The Meyerowitz Stories (New and Selected)","19/11/17"
"Tormenta de arena","17/11/17"
"Black Sails: Temporada 1: II","17/11/17"
"Black Sails: Temporada 1: I","16/11/17"
"Sense8: Temporada 2: ¿Quieres guerra?","15/11/17"
"Sense8: Temporada 2: Si el mundo es un escenario, la identidad no es más que un disfraz","14/11/17"
"Sense8: Temporada 2: Lo que verdaderamente significa la familia","14/11/17"
"Sense8: Temporada 2: Ahora lo único que quiero tener es una bala más","13/11/17"
"Sense8: Temporada 2: En mi corazón no hay sitio para el odio","13/11/17"
"Downton Abbey: Temporada 6: The Finale","12/11/17"
"Downton Abbey: Temporada 6: Episodio 8","12/11/17"
"Downton Abbey: Temporada 6: Episodio 7","11/11/17"
"Downton Abbey: Temporada 6: Episodio 6","10/11/17"
"Downton Abbey: Temporada 6: Episodio 5","10/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 1: Piloto","9/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Fin del mundo","9/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: El regreso","9/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: ¡Adiós, mundo cruel!","9/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Todos los hombres de Madame","8/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Sin remordimientos","8/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Identidad y cambio","8/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: ¿Y si...?","8/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Autocontrol","6/11/17"
"Downton Abbey: Temporada 6: Episodio 4","5/11/17"
"Downton Abbey: Temporada 6: Episodio 3","5/11/17"
"Más allá de Stranger Things: Más allá 2: Alucinante","5/11/17"
"Stranger Things: Stranger Things 2: Capítulo nueve: El portal","5/11/17"
"Stranger Things: Stranger Things 2: Capítulo ocho: El Azotamentes","5/11/17"
"Stranger Things: Stranger Things 2: Capítulo siete: La hermana perdida","5/11/17"
"Stranger Things: Stranger Things 2: Capítulo seis: El espía","3/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: El hombre detrás del escudo","3/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: ¡Bum!","3/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Sopa de patata caliente","3/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Despierta","3/11/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: El patriota","3/11/17"
"El caballero oscuro: La leyenda renace","2/11/17"
"Black Mirror: Temporada 2: Ahora mismo vuelvo","2/11/17"
"Stranger Things: Stranger Things 2: Capítulo cinco: Dig Dug","1/11/17"
"Stranger Things: Stranger Things 2: Capítulo cuatro: Will el Sabio","1/11/17"
"Stranger Things: Stranger Things 2: Capítulo tres: El renacuajo","1/11/17"
"Stranger Things: Stranger Things 2: Capítulo dos: Truco o trato, bicho raro","31/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Promesas rotas","30/10/17"
"Stranger Things: Stranger Things 2: Capítulo uno: MADMAX","29/10/17"
"Downton Abbey: Temporada 6: Episodio 2","29/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Las leyes de la dinámica del infierno","26/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Pactos con nuestros diablos","26/10/17"
"Downton Abbey: Temporada 6: Episodio 1","25/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: El buen samaritano","24/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Chirona","24/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Déjame arrimarme a tu fuego","24/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Sedición","23/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: Conozcan al nuevo jefe","23/10/17"
"Downton Abbey: Temporada 5: A Moorland Holiday","22/10/17"
"Downton Abbey: Temporada 5: Episodio 8","22/10/17"
"Downton Abbey: Temporada 5: Episodio 7","22/10/17"
"Narcos: Temporada 3: De vuelta a Cali","18/10/17"
"Máquina de guerra","17/10/17"
"Narcos: Temporada 3: Todos los hombres del presidente","15/10/17"
"Narcos: Temporada 3: Convivir","15/10/17"
"Narcos: Temporada 3: Sin salida","15/10/17"
"Narcos: Temporada 3: No hay plan perfecto","14/10/17"
"Narcos: Temporada 3: MRO","14/10/17"
"El ladrón de palabras","14/10/17"
"Downton Abbey: Temporada 5: Episodio 6","13/10/17"
"Downton Abbey: Temporada 5: Episodio 5","13/10/17"
"Narcos: Temporada 3: Jaque mate","12/10/17"
"Narcos: Temporada 3: Sigue el rastro del dinero","12/10/17"
"Narcos: Temporada 3: El KGB de Cali","7/10/17"
"Narcos: Temporada 3: La estrategia del cabecilla","6/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 4: El fantasma","6/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Ascensión","4/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Absolución","4/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Emancipación","4/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Experimentos fallidos","2/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Singularidad","2/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: El equipo","2/10/17"
"Nieve Negra","1/10/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Paraíso perdido","26/9/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Espacio-tiempo","26/9/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Guardianes","26/9/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Trago de despedida","25/9/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: El infiltrado","25/9/17"
"La chica danesa","23/9/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Recuperándose","19/9/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Maveth","19/9/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Cierre","18/9/17"
"American Beauty","3/9/17"
"Jago: A Life Underwater","22/8/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Muchas cabezas, una historia","22/8/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: La teoría del caos","22/8/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Oculto entre nosotros","12/8/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: 4.722 horas","12/8/17"
"Sense8: Temporada 2: Aislados por encima, pero conectados por debajo","5/8/17"
"Downton Abbey: Temporada 5: Episodio 4","26/7/17"
"Downton Abbey: Temporada 5: Episodio 3","26/7/17"
"Downton Abbey: Temporada 5: Episodio 2","26/7/17"
"Downton Abbey: Temporada 4: Episodio 6","26/7/17"
"Sense8: Temporada 2: Con miedo nunca se arregla nada","25/7/17"
"Ip Man 3","16/7/17"
"The Walking Dead: Temporada 1: Los días transcurridos","16/7/17"
"Sense8: Temporada 2: Polifonía","1/7/17"
"Sense8: Temporada 2: Mutualismos obligados","17/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Los demonios que conoces","15/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Un (in)humano buscado","15/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: El propósito de la máquina","12/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 3: Las leyes de la naturaleza","12/6/17"
"The Get Down: Parte 2: Solo desde el exilio podemos volver a casa","10/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: S.O.S. Segunda parte","7/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: S.O.S. Primera parte","7/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: Cicatrices","6/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: La media docena sucia","6/6/17"
"Sense8: Temporada 2: ¿Quién soy?","5/6/17"
"The Crown: Temporada 1: Scientia potentia est","3/6/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: Amigo-enemigo de mi enemigo","31/5/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: Melinda","31/5/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: Más Allá","31/5/17"
"The Get Down: Parte 2: Juégatelo todo","28/5/17"
"The Get Down: Parte 2: Uno a uno, hacia la oscuridad","28/5/17"
"The Get Down: Parte 2: El ritmo dice que este es el camino","26/5/17"
"Marvel's Agents of S.H.I.E.L.D.: Temporada 2: Se cierra una puerta","10/5/17"
